issue_id	paper_id	related_record_id	issue_type	description	checked_sources	current_assessment	requires_user_decision	status	resolution	notes
UI-P0009-004	P0009	commd3_mutant	mutant_technology_unresolved	官方样本标题显示commd3_mutant，但未在已保存官方metadata中明确给出工程技术、直接靶标描述细节或预期效果。	GEO family MINiML	UNRESOLVED	no	open	NA	Condition and user catalog preserve the mutant label without inferring the engineering method.
UI-P0012-001	P0012	rep labels	replicate_type_unresolved	GEO titles contain rep labels but saved metadata does not adjudicate biological versus technical replicate.	GEO family MINiML|ENA filereport	UNRESOLVED	no	open	NA	Replicate label retained losslessly.
UI-P0012-002	P0012	run/file expansion	run_level_not_expanded	Round4 project-level gap has been expanded to run/file metadata without downloading raw files.	GEO family MINiML|NCBI RunInfo|ENA filereport	resolved	no	resolved	Expanded to 102 runs and 182 FASTQ metadata links.	Large RAW tar remains intentionally not downloaded.
UI-P0012-003	P0012	PRJNA706679	project_scope_mismatch	Configured/declaration BioProject PRJNA706679 query returns ENA read_run rows whose study_accession values are PRJNA706396 and PRJNA706676.	ENA filereport PRJNA706679	UNRESOLVED	yes	open	NA	Run rows preserve database-returned project_accession; do not infer equivalence.
UI-P0001-001	P0001	rep labels	replicate_type_unresolved	ENA aliases contain R labels but replicate type is not adjudicated in this light pass.	ENA filereport|prior pilot report	UNRESOLVED	no	open	NA	Supplementary sample table may be needed.
UI-P0001-002	P0001	ERP004055	run_level_not_expanded	Round4 run-level gap has been expanded to 13 ENA runs and paired FASTQ metadata links.	ENA filereport ERP004055	resolved	no	resolved	Expanded to 13 runs and 26 FASTQ metadata links.	Design mapping remains light.
UI-P0001-003	P0001	sample_alias_stage_parse	sample_design_light_parse	Cell-cycle stages are conservatively parsed from archive aliases and prior pilot evidence; exact synchronization timing is not fully resolved.	ENA filereport|prior pilot report	UNRESOLVED	no	open	NA	Needs supplementary materials for full design extraction.
UI-P0006-001	P0006	own_data_status	own_data_not_fully_adjudicated	Round7 preserved own_data_status conservatively because local paper text and lightweight archive snapshots were not enough to fully adjudicate study-generated versus reused for every record.	local PDF|GEO|RunInfo|ENA	UNRESOLVED	no	open	NA	Can be promoted in a later paper-focused pass with supplementary materials or submitter evidence.
UI-P0006-002	P0006	synchronization_and_time_axis	sample_design_light_parse	Round7 did not infer synchronization start, release time, or cell-cycle timepoints without explicit sample-level metadata.	GEO sample title|GEO characteristics|RunInfo|ENA	UNRESOLVED	no	open	NA	Needs supplementary tables or methods-focused extraction in later rounds.
UI-P0006-003	P0006	run_file_expansion	run_level_expanded	Whether this paper could be expanded beyond GEO sample level in the round7 light pass.	GEO|RunInfo|ENA	resolved	no	resolved	Expanded to max(90, 90) run rows.	No large sequencing files were downloaded.
UI-P0007-001	P0007	own_data_status	own_data_not_fully_adjudicated	Round7 preserved own_data_status conservatively because local paper text and lightweight archive snapshots were not enough to fully adjudicate study-generated versus reused for every record.	local PDF|GEO|RunInfo|ENA	UNRESOLVED	no	open	NA	Can be promoted in a later paper-focused pass with supplementary materials or submitter evidence.
UI-P0007-002	P0007	synchronization_and_time_axis	sample_design_light_parse	Round7 did not infer synchronization start, release time, or cell-cycle timepoints without explicit sample-level metadata.	GEO sample title|GEO characteristics|RunInfo|ENA	UNRESOLVED	no	open	NA	Needs supplementary tables or methods-focused extraction in later rounds.
UI-P0007-003	P0007	run_file_expansion	run_level_expanded	Whether this paper could be expanded beyond GEO sample level in the round7 light pass.	GEO|RunInfo|ENA	resolved	no	resolved	Expanded to max(37, 37) run rows.	No large sequencing files were downloaded.
UI-P0016-001	P0016	own_data_status	own_data_not_fully_adjudicated	Round7 preserved own_data_status conservatively because local paper text and lightweight archive snapshots were not enough to fully adjudicate study-generated versus reused for every record.	local PDF|GEO|RunInfo|ENA	UNRESOLVED	no	open	NA	Can be promoted in a later paper-focused pass with supplementary materials or submitter evidence.
UI-P0016-002	P0016	synchronization_and_time_axis	sample_design_light_parse	Round7 did not infer synchronization start, release time, or cell-cycle timepoints without explicit sample-level metadata.	GEO sample title|GEO characteristics|RunInfo|ENA	UNRESOLVED	no	open	NA	Needs supplementary tables or methods-focused extraction in later rounds.
UI-P0016-003	P0016	run_file_expansion	run_level_expanded	Whether this paper could be expanded beyond GEO sample level in the round7 light pass.	GEO|RunInfo|ENA	resolved	no	resolved	Expanded to max(0, 100) run rows.	No large sequencing files were downloaded.
UI-P0011-001	P0011	own_data_status	own_data_not_fully_adjudicated	Round7 preserved own_data_status conservatively because local paper text and lightweight archive snapshots were not enough to fully adjudicate study-generated versus reused for every record.	local PDF|GEO|RunInfo|ENA	UNRESOLVED	no	open	NA	Can be promoted in a later paper-focused pass with supplementary materials or submitter evidence.
UI-P0011-002	P0011	synchronization_and_time_axis	sample_design_light_parse	Round7 did not infer synchronization start, release time, or cell-cycle timepoints without explicit sample-level metadata.	GEO sample title|GEO characteristics|RunInfo|ENA	UNRESOLVED	no	open	NA	Needs supplementary tables or methods-focused extraction in later rounds.
UI-P0011-003	P0011	run_file_expansion	run_level_expanded	Whether this paper could be expanded beyond GEO sample level in the round7 light pass.	GEO|RunInfo|ENA	resolved	no	resolved	Expanded to max(128, 128) run rows.	No large sequencing files were downloaded.
